name,category_id,quantity,min_threshold,unit
Caciotta,formaggi,4,2,pz
Taleggio,formaggi,1,2,pz
Gorgonzola,formaggi,1,2,pz
Mozzarella,formaggi,0,3,pz
Philadelphia,formaggi,3,2,pz
Pecorino buste,formaggi,2,3,pz
Mascarpone,formaggi,11,2,pz
Scamorza,formaggi,2,2,pz
Parmigiano,formaggi,0,1,pz
Pollo agrumi🍊🍊🍊,carne,11,20,kg
Filetto di maiale,carne,24,15,kg
Contro filetto,carne,12,1,kg
Bistecche,carne,21,3,pz
Salsiccie,carne,7,5,pz
Macinato,carne,4,1,kg
Culatello,carne,1,1,pz
Capocollo,carne,3,1,pz
Guanciale,carne,2,1,pz
Mortadella,carne,1,1,pz
Agnello,carne,7,1,kg
Girello di vitello,carne,1,3,kg
Lattuga romana,verdure,2,5,pz
Rucola,verdure,2,3,pz
Carote,verdure,20,5,pz
Zucchine,verdure,28,5,pz
Pomodorini rossi,verdure,2,1,pz
Peperoni,verdure,17,3,pz
Melanzane,verdure,13,3,pz
Basilico,verdure,3,2,pz
Menta,verdure,2,2,pz
Arancia,verdure,24,5,pz
Mela,verdure,12,5,pz
Uva,verdure,1,2,kg
Pomodori,verdure,15,5,pz
Cipolla,verdure,2,5,pz
Aglio,verdure,1,3,pz
Prezzemolo,verdure,0,2,pz
Rosmarino,verdure,1,2,pz
Limone,verdure,25,5,pz
Salmone,pesce,0,1,kg
Gamberi,pesce,0,1,kg
Spaghetti n.5,pasta_riso,6,5,pz
Pasta salsiccia,pasta_riso,0,3,pz
Gnocchi,pasta_riso,16,5,pz
Penne,pasta_riso,6,5,pz
Riso,pasta_riso,7,3,kg
Fusilli,pasta_riso,4,5,pz
Rigatoni,pasta_riso,0,5,pz
Linguine,pasta_riso,0,5,pz
Tagliatelle,pasta_riso,0,3,pz
Lasagne,pasta_riso,2,3,pz
Tortellini,pasta_riso,1,3,pz
Olio EVO,condimenti,0,2,l
Olio cucina,condimenti,3,2,l
Olio gruppi,condimenti,2,2,l
Olio di semi,condimenti,0,2,l
Maionese,condimenti,3,2,pz
Salsa tartufata,condimenti,2,2,pz
Crema basilico,condimenti,2,2,pz
Crema zucchine,condimenti,9,2,pz
Aceto balsamico,condimenti,4,1,pz
Aceto di vino,condimenti,0,1,pz
Salsa pomodoro,condimenti,18,5,pz
Pesto,condimenti,0,2,pz
Ketchup,condimenti,0,2,pz
Senape,condimenti,1,1,pz
Sorbetto limone,dolci,1,2,pz
Gelato,dolci,1,5,pz
Viennette,dolci,0,5,pz
Fragole,dolci,1,2,pz
Frutti R,dolci,0,2,pz
Cappellaci,pasta_riso,4,3,pz
Tiramisù,dolci,0,2,pz
Panna cotta,dolci,0,3,pz
Cioccolato,dolci,3,2,pz
Pane,pane_focacce,0,10,pz
Focaccia,pane_focacce,0,3,pz
Rum,bevande,0,1,pz
Vino rosso,bevande,0,5,pz
